Unnamed: 0,rank_date,title,rank,author,full_price,selling_price,category,publisher,available?
74,2021-09-26,มหาวิทยาลัยซอมบี้ ZOMBIES IN COLLEGE เล่ม 2 (พิมพ์ครั้งที่ 2),60.0,เหยียนเหลียงอวี่,335.0,284.75,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
75,2021-09-26,บ้านต้นไม้ในวันหิมะตก (ปกแข็ง),64.0,บุชิกะ เอ็ตสึโกะ (Etsuko Bushika),245.0,208.25,Books/หนังสือเด็ก/หนังสือภาพ นิทาน,Amarin Kids,Add to Cart
76,2021-09-26,น่าจะรู้อย่างนี้ ตั้งแต่ตอนอายุ 20 (ฉบับปรับปรุง),68.0,TINA SEELIG,185.0,157.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,วีเลิร์น (WeLearn),Add to Cart
77,2021-09-26,เล่ห์กลจักรพรรดิ เล่ม 2,72.0,อวี่เชี่ยวหลานชาน (Yu Xizo Lan Shan),395.0,316.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
78,2021-09-26,(รัก) ยิ้มของเธอ เล่ม 3,76.0,ชิงเหม่ย,325.0,260.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
79,2021-09-26,ข้ามภพ ข้ามชาติ,80.0,ครู ข้างวังฯ,165.0,83.0,Books/วรรณกรรม/เรื่องสั้น,แพรวสำนักพิมพ์,Add to Cart
80,2021-09-26,ข้าเป็นสัตว์เลี้ยงของศาลต้าหลี่ เล่ม 4,81.0,โม่ซั่งเหรินหรูอวี้,519.0,441.15,Books/นิยายแปล/นิยายจีนแปล,แจ่มใส,Add to Cart
81,2021-09-26,ดาบแห่งโชคชะตา The Witcher Short Story Collection II,82.0,อันเดร ซาพคอฟสกี,435.0,369.75,Books/นิยาย/นิยายแฟนตาซี,แพรวสำนักพิมพ์,Add to Cart
82,2021-09-26,เล่ห์กลจักรพรรดิ เล่ม 3,83.0,อวี่เชี่ยวหลานชาน (Yu Xizo Lan Shan),355.0,284.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
83,2021-09-26,(รัก) ยิ้มของเธอ เล่ม 2,85.0,ชิงเหม่ย,335.0,268.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
84,2021-09-26,(รัก) ยิ้มของเธอ เล่ม 1,86.0,ชิงเหม่ย,335.0,268.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
85,2021-09-26,เล่ห์กลจักรพรรดิ เล่ม 4,87.0,อวี่เชี่ยวหลานชาน (Yu Xizo Lan Shan),335.0,268.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
86,2021-09-26,ทะมงกับเด็กชายและความหมายของชีวิต,89.0,ฮาเสะ เซชู (Seisyu Hase),295.0,250.75,Books/วรรณกรรม/เรื่องสั้น,Piccolo,Add to Cart
87,2021-09-26,นี่เราใช้ชีวิตยากเกินไปหรือเปล่านะ,90.0,ฮาวัน (Ha Wan),295.0,250.75,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
88,2021-09-26,ภาวะสมองบอด (พร้อมวิธีรักษา) CREATIVE BLINDNESS,91.0,Dave Trott,280.0,238.0,Books/บริหาร ธุรกิจ/การบริหารธุรกิจ,วีเลิร์น (WeLearn),Add to Cart
89,2021-09-26,จะคอยคิดถึงเธออยู่ไกลๆ นะ,93.0,นายต้นไม้,225.0,191.25,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
90,2021-09-26,เราจะเติบโตขึ้นทุกครั้งหลังฝนตก,94.0,คึลแบอู (Geulbaewoo),255.0,216.75,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
91,2021-09-26,จงเป็นเราในแบบของเรา ไม่ใช่แบบที่เขาอยากให้เป็น,95.0,ชัยยะ,245.0,208.25,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
92,2021-09-26,บ้านต้นไม้ในฤดูร้อน  (ปกแข็ง),97.0,บุชิกะ เอ็ตสึโกะ (Etsuko Bushika),245.0,208.25,Books/หนังสือเด็ก/หนังสือภาพ นิทาน,Amarin Kids,Add to Cart
93,2021-09-26,แล้วมันจะผ่านไปไม่ต่างอะไรกับฤดูกาล,98.0,ปาร์กจุน,225.0,191.25,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
94,2021-09-26,พลังแห่งเหมียว แมวขององค์ทะไลลามะ,99.0,เดวิด มิชี่,220.0,187.0,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,มูลนิธิโกมลคีมทอง,Add to Cart
95,2021-09-26,UNTAMED อย่ายอม,84.0,เกลนน็อน ดอยล์ (Glennon Doyle),345.0,293.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
96,2021-09-26,เล่ห์กลจักรพรรดิ เล่ม 5 (เล่มจบ),88.0,อวี่เชี่ยวหลานชาน (Yu Xizo Lan Shan),335.0,268.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
97,2021-09-26,MAPPING เยียวยาซึมเศร้ากับเรื่องเล่าของมนุษย์เศร้าซึม,92.0,Hossy,265.0,225.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,นานมีบุ๊คส์,Add to Cart
98,2021-09-26,INVESTOR MINDSET รู้ทันอารมณ์สร้างกำไรด้วยเหตุผล ,96.0,ศรุติ โชติเสรีวิทย์,235.0,199.75,Books/บริหาร ธุรกิจ/การเงิน การลงทุน,พราว,Add to Cart
99,2021-09-26,ไม่ใช่ทุกการจากลาจะพาเรามาเจอกันอีก,100.0,คุณ (ONCE),195.0,165.75,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
0,2021-09-27,สถาบันสถาปนา (BOX SET มี 3 เล่มจบ),1.0,Isaac Asimov,885.0,708.0,Books/นิยาย/นิยายแฟนตาซี,แพรวสำนักพิมพ์,Add to Cart
1,2021-09-27,สวรรค์ประทานพร เล่ม 1,2.0,โม่เซียงถงซีว,360.0,306.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Out of Stock
